SampleID,condition
OddPlusEven_24h-1-pksN-1_S33_merged,1
OddPlusEven_24h-1-pksN-2_S34_merged,1
OddPlusEven_24h-1-pksN-3_S35_merged,1
OddPlusEven_24h-1-pksN-4_S37_merged,1
OddPlusEven_24h-1-pksN-5_S38_merged,1
OddPlusEven_24h-1-pksP-1_S28_merged,0
OddPlusEven_24h-1-pksP-2_S29_merged,0
OddPlusEven_24h-1-pksP-3_S30_merged,0
OddPlusEven_24h-1-pksP-4_S31_merged,0
OddPlusEven_24h-1-pksP-5_S32_merged,0
OddPlusEven_24h-10-pksN-1_S44_merged,1
OddPlusEven_24h-10-pksN-2_S45_merged,1
OddPlusEven_24h-10-pksN-3_S46_merged,1
OddPlusEven_24h-10-pksN-4_S47_merged,1
OddPlusEven_24h-10-pksN-5_S48_merged,1
OddPlusEven_24h-10-pksP-1_S39_merged,0
OddPlusEven_24h-10-pksP-2_S40_merged,0
OddPlusEven_24h-10-pksP-3_S41_merged,0
OddPlusEven_24h-10-pksP-4_S42_merged,0
OddPlusEven_24h-10-pksP-5_S43_merged,0
OddPlusEven_48h-1-pksN-1_S54_merged,1
OddPlusEven_48h-1-pksN-2_S55_merged,1
OddPlusEven_48h-1-pksN-3_S56_merged,1
OddPlusEven_48h-1-pksN-4_S57_merged,1
OddPlusEven_48h-1-pksN-5_S58_merged,1
OddPlusEven_48h-1-pksP-1_S49_merged,0
OddPlusEven_48h-1-pksP-2_S50_merged,0
OddPlusEven_48h-1-pksP-3_S51_merged,0
OddPlusEven_48h-1-pksP-4_S52_merged,0
OddPlusEven_48h-1-pksP-5_S53_merged,0
OddPlusEven_48h-10-pksN-1_S64_merged,1
OddPlusEven_48h-10-pksN-2_S65_merged,1
OddPlusEven_48h-10-pksN-3_S66_merged,1
OddPlusEven_48h-10-pksN-4_S67_merged,1
OddPlusEven_48h-10-pksN-5_S68_merged,1
OddPlusEven_48h-10-pksP-1_S59_merged,0
OddPlusEven_48h-10-pksP-2_S60_merged,0
OddPlusEven_48h-10-pksP-3_S61_merged,0
OddPlusEven_48h-10-pksP-4_S62_merged,0
OddPlusEven_48h-10-pksP-5_S63_merged,0
OddPlusEven_8h-1-pksN-1_S9_merged,1
OddPlusEven_8h-1-pksN-2_S10_merged,1
OddPlusEven_8h-1-pksN-3_S11_merged,1
OddPlusEven_8h-1-pksN-4_S12_merged,1
OddPlusEven_8h-1-pksN-5_S13_merged,1
OddPlusEven_8h-1-pksP-1_S1_merged,0
OddPlusEven_8h-1-pksP-2_S2_merged,0
OddPlusEven_8h-1-pksP-3_S3_merged,0
OddPlusEven_8h-1-pksP-4_S4_merged,0
OddPlusEven_8h-1-pksP-5_S8_merged,0
OddPlusEven_8h-10-pksN-1_S21_merged,1
OddPlusEven_8h-10-pksN-2_S22_merged,1
OddPlusEven_8h-10-pksN-3_S23_merged,1
OddPlusEven_8h-10-pksN-4_S24_merged,1
OddPlusEven_8h-10-pksN-5_S25_merged,1
OddPlusEven_8h-10-pksP-1_S14_merged,0
OddPlusEven_8h-10-pksP-2_S15_merged,0
OddPlusEven_8h-10-pksP-3_S18_merged,0
OddPlusEven_8h-10-pksP-4_S19_merged,0
OddPlusEven_8h-10-pksP-5_S20_merged,0
OddPlusEven_OD01-pooled-ASKA_S5_merged,0
